t,plant,axis,organ,AA_consumption_mstruct,C_exudation,Export_Amino_Acids,Export_Nitrates,Export_cytokinins,HATS_LATS,Ksoil,N_exudation,Nstruct,RGR_Structure,R_Nnit_red,R_Nnit_upt,R_grain_growth_starch,R_grain_growth_struct,R_min_upt,R_residual,Respi_growth,SRWC,S_Amino_Acids,S_Proteins,S_cytokinins,S_grain_starch,S_grain_structure,Total_Organic_Nitrogen,Tr,Tsoil,Unloading_Amino_Acids,Unloading_Sucrose,Uptake_Nitrates,age,age_from_flowering,amino_acids,cytokinins,delta_mstruct_growth,green_area,mstruct,nitrates,proteins,rate_mstruct_death,regul_transpiration,senesced_mstruct,soil_water_potential,starch,structure,sucrose,sucrose_consumption_mstruct,sum_respi,total_water_potential,xylem_water_potential
0,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00000000,NA,NA,NA,NA
0,1,MS,roots,0.03454722,NA,NA,NA,NA,NA,NA,NA,0.00017268,NA,NA,NA,NA,NA,NA,NA,1.19303084,NA,NA,NA,NA,NA,NA,14.49031944,NA,NA,NA,NA,NA,NA,NA,2.15598651,8.60000000,0.00009673,NA,0.03449673,21.90533730,NA,0.00000000,NA,0.00000000,NA,NA,NA,197.92736394,3.46439572,NA,NA,NA
0,1,MS,xylem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.11900251,NA,NA,NA,NA,NA,-0.03367976,NA
1,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.23680407,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84.72396158,NA,NA,NA,NA
1,1,MS,roots,0.03453681,0.00000000,0.46786327,0.68214750,0.09053377,1.44313737,NA,0.00000000,0.00017316,NA,0.10358472,0.14106929,NA,NA,NA,0.07963994,1.19267117,NA,1.51229601,NA,1.33689668,NA,NA,14.00970115,NA,NA,0.00000000,-516.88159624,0.35533825,NA,NA,1.64083140,8.55562343,0.00009670,NA,0.03459344,21.53107964,NA,0.00000000,0.00176011,0.00000000,NA,NA,NA,168.53898476,3.46335130,0.32429394,NA,NA
1,1,MS,xylem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.11900251,NA,NA,NA,NA,NA,-0.03706220,NA
2,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.19245831,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,124.67916587,NA,NA,NA,NA
2,1,MS,roots,0.03383908,0.00000000,0.30653880,0.54814286,0.07340662,1.46221840,NA,0.00000000,0.00017364,NA,0.10301203,0.13327280,NA,NA,NA,0.07465525,1.16857627,NA,1.49982707,NA,1.32727181,NA,NA,13.72435434,NA,NA,0.00000000,-287.79792711,0.33569976,NA,NA,1.32164551,8.52826718,0.00009475,NA,0.03468818,21.26991735,NA,0.00000000,0.00143171,0.00000000,NA,NA,NA,150.49667393,3.39338306,0.31094009,NA,NA
2,1,MS,xylem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.11900251,NA,NA,NA,NA,NA,-0.03778996,NA
3,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.77980308,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,153.27857534,NA,NA,NA,NA
