t,plant,axis,C_exudated,GA,Growth,LAI_turgor,SAM_height,SAM_temperature,Total_Transpiration,Total_Transpiration_turgor,Tr,cohort,delta_plant_water_content,delta_teq,delta_teq_roots,green_area,mstruct,nb_leaves,plant_WC_DM,plant_water_content,res,senesced_mstruct,status,sum_TT,sum_respi_roots,sum_respi_shoot,teq_since_primordium,total_water_influx,xylem_water_potential
0,1,b'T1',NA,False,NA,NA,0,10.00000000,NA,NA,NA,4,NA,2883.20598615,2883.20598615,NA,NA,7,NA,NA,0.00000000,NA,vegetative,0.40044528,NA,NA,2883.20598615,NA,-0.11900251
0,1,b'T2',NA,False,NA,NA,0,10.00000000,NA,NA,NA,5,NA,2883.20598615,2883.20598615,NA,NA,6,NA,NA,0.00000000,NA,vegetative,0.40044528,NA,NA,2883.20598615,NA,-0.11900251
0,1,b'T3',NA,False,NA,NA,0,10.00000000,NA,NA,NA,6,NA,2883.20598615,2883.20598615,NA,NA,5,NA,NA,0.00000000,NA,vegetative,0.40044528,NA,NA,2883.20598615,NA,-0.11900251
0,1,b'T4',NA,False,NA,NA,0,10.00000000,NA,NA,NA,7,NA,2883.20598615,2883.20598615,NA,NA,4,NA,NA,0.00000000,NA,vegetative,0.40044528,NA,NA,2883.20598615,NA,-0.11900251
0,1,MS,0.00000000,False,0.00028005,0.00000000,0,10.00000000,NA,0.09367787,NA,1,0.00027858,2883.20598615,2883.20598615,0.00116948,0.05468138,10,90.16959517,0.50156611,0.00000000,0.00000000,vegetative,0.40044528,0.00100000,0.00000000,2883.20598615,0.09367640,-0.03367976
1,1,b'T1',NA,False,NA,NA,0,10.00000000,NA,NA,NA,4,NA,2883.20598615,2883.20598615,NA,NA,7,NA,NA,0.00000000,NA,vegetative,0.80089055,NA,NA,5766.41197231,NA,-0.11900251
1,1,b'T2',NA,False,NA,NA,0,10.00000000,NA,NA,NA,5,NA,2883.20598615,2883.20598615,NA,NA,6,NA,NA,0.00000000,NA,vegetative,0.80089055,NA,NA,5766.41197231,NA,-0.11900251
1,1,b'T3',NA,False,NA,NA,0,10.00000000,NA,NA,NA,6,NA,2883.20598615,2883.20598615,NA,NA,5,NA,NA,0.00000000,NA,vegetative,0.80089055,NA,NA,5766.41197231,NA,-0.11900251
1,1,b'T4',NA,False,NA,NA,0,10.00000000,NA,NA,NA,7,NA,2883.20598615,2883.20598615,NA,NA,4,NA,NA,0.00000000,NA,vegetative,0.80089055,NA,NA,5766.41197231,NA,-0.11900251
1,1,MS,0.00000000,False,0.00017237,0.00000000,0,10.00000000,0.00176011,0.11399976,NA,1,0.00017244,2883.20598615,2883.20598615,0.00116990,0.05513712,10,90.16963233,0.50156821,0.00000000,0.00000000,vegetative,0.80089055,0.33136341,1.38472763,5766.41197231,0.11399983,-0.03706220
2,1,b'T1',NA,False,NA,NA,0,10.00000000,NA,NA,NA,4,NA,2883.20598615,2883.20598615,NA,NA,7,NA,NA,0.00000000,NA,vegetative,1.20133583,NA,NA,8649.61795846,NA,-0.11900251
2,1,b'T2',NA,False,NA,NA,0,10.00000000,NA,NA,NA,5,NA,2883.20598615,2883.20598615,NA,NA,6,NA,NA,0.00000000,NA,vegetative,1.20133583,NA,NA,8649.61795846,NA,-0.11900251
2,1,b'T3',NA,False,NA,NA,0,10.00000000,NA,NA,NA,6,NA,2883.20598615,2883.20598615,NA,NA,5,NA,NA,0.00000000,NA,vegetative,1.20133583,NA,NA,8649.61795846,NA,-0.11900251
2,1,b'T4',NA,False,NA,NA,0,10.00000000,NA,NA,NA,7,NA,2883.20598615,2883.20598615,NA,NA,4,NA,NA,0.00000000,NA,vegetative,1.20133583,NA,NA,8649.61795846,NA,-0.11900251
2,1,MS,0.00000000,False,0.00016704,0.00000000,0,10.00000000,0.00143171,0.09284146,NA,1,0.00016699,2883.20598615,2883.20598615,0.00117027,0.05524393,10,90.14112161,0.49995960,0.00000000,0.00000000,vegetative,1.20133583,0.31570975,1.24939600,8649.61795846,0.09284141,-0.03778996
3,1,b'T1',NA,False,NA,NA,0,10.00000000,NA,NA,NA,4,NA,2883.20598615,2883.20598615,NA,NA,7,NA,NA,0.00000000,NA,vegetative,1.60178110,NA,NA,11532.82394462,NA,-0.11900251
3,1,b'T2',NA,False,NA,NA,0,10.00000000,NA,NA,NA,5,NA,2883.20598615,2883.20598615,NA,NA,6,NA,NA,0.00000000,NA,vegetative,1.60178110,NA,NA,11532.82394462,NA,-0.11900251
3,1,b'T3',NA,False,NA,NA,0,10.00000000,NA,NA,NA,6,NA,2883.20598615,2883.20598615,NA,NA,5,NA,NA,0.00000000,NA,vegetative,1.60178110,NA,NA,11532.82394462,NA,-0.11900251
3,1,b'T4',NA,False,NA,NA,0,10.00000000,NA,NA,NA,7,NA,2883.20598615,2883.20598615,NA,NA,4,NA,NA,0.00000000,NA,vegetative,1.60178110,NA,NA,11532.82394462,NA,-0.11900251
3,1,MS,0.00000000,False,0.00017889,0.00000000,0,10.00000000,0.00121586,0.07867340,NA,1,0.00017849,2883.20598615,2883.20598615,0.00116958,0.05537246,10,90.14557882,0.50021047,0.00000000,0.00000000,vegetative,1.60178110,0.30472136,1.16660304,11532.82394462,0.07867300,-0.03702807
4,1,b'T1',NA,False,NA,NA,0,10.00000000,NA,NA,NA,4,NA,2883.20598615,2883.20598615,NA,NA,7,NA,NA,0.00000000,NA,vegetative,2.00222638,NA,NA,14416.02993077,NA,-0.11900251
4,1,b'T2',NA,False,NA,NA,0,10.00000000,NA,NA,NA,5,NA,2883.20598615,2883.20598615,NA,NA,6,NA,NA,0.00000000,NA,vegetative,2.00222638,NA,NA,14416.02993077,NA,-0.11900251
4,1,b'T3',NA,False,NA,NA,0,10.00000000,NA,NA,NA,6,NA,2883.20598615,2883.20598615,NA,NA,5,NA,NA,0.00000000,NA,vegetative,2.00222638,NA,NA,14416.02993077,NA,-0.11900251
4,1,b'T4',NA,False,NA,NA,0,10.00000000,NA,NA,NA,7,NA,2883.20598615,2883.20598615,NA,NA,4,NA,NA,0.00000000,NA,vegetative,2.00222638,NA,NA,14416.02993077,NA,-0.11900251
4,1,MS,0.00000000,False,0.00018691,0.00000000,0,10.00000000,0.00091632,0.05928040,NA,1,0.00018649,2883.20598615,2883.20598615,0.00117070,0.05550473,10,90.15232915,0.50059083,0.00000000,0.00000000,vegetative,2.00222638,0.29696875,1.03055156,14416.02993077,0.05927998,-0.03651843
5,1,b'T1',NA,False,NA,NA,0,10.00000000,NA,NA,NA,4,NA,2883.20598615,2883.20598615,NA,NA,7,NA,NA,0.00000000,NA,vegetative,2.40267166,NA,NA,17299.23591693,NA,-0.11900251
5,1,b'T2',NA,False,NA,NA,0,10.00000000,NA,NA,NA,5,NA,2883.20598615,2883.20598615,NA,NA,6,NA,NA,0.00000000,NA,vegetative,2.40267166,NA,NA,17299.23591693,NA,-0.11900251
5,1,b'T3',NA,False,NA,NA,0,10.00000000,NA,NA,NA,6,NA,2883.20598615,2883.20598615,NA,NA,5,NA,NA,0.00000000,NA,vegetative,2.40267166,NA,NA,17299.23591693,NA,-0.11900251
5,1,b'T4',NA,False,NA,NA,0,10.00000000,NA,NA,NA,7,NA,2883.20598615,2883.20598615,NA,NA,4,NA,NA,0.00000000,NA,vegetative,2.40267166,NA,NA,17299.23591693,NA,-0.11900251
5,1,MS,0.00000000,False,0.00019318,0.00000000,0,10.00000000,0.00045908,0.02970412,NA,1,0.00019278,2883.20598615,2883.20598615,0.00117197,0.05563428,10,90.15967493,0.50100534,0.00000000,0.00000000,vegetative,2.40267166,0.29083945,0.80932515,17299.23591693,0.02970372,-0.03582057
6,1,b'T1',NA,False,NA,NA,0,10.00000000,NA,NA,NA,4,NA,2883.20598615,2883.20598615,NA,NA,7,NA,NA,0.00000000,NA,vegetative,2.80311693,NA,NA,20182.44190308,NA,-0.11900251
6,1,b'T2',NA,False,NA,NA,0,10.00000000,NA,NA,NA,5,NA,2883.20598615,2883.20598615,NA,NA,6,NA,NA,0.00000000,NA,vegetative,2.80311693,NA,NA,20182.44190308,NA,-0.11900251
6,1,b'T3',NA,False,NA,NA,0,10.00000000,NA,NA,NA,6,NA,2883.20598615,2883.20598615,NA,NA,5,NA,NA,0.00000000,NA,vegetative,2.80311693,NA,NA,20182.44190308,NA,-0.11900251
6,1,b'T4',NA,False,NA,NA,0,10.00000000,NA,NA,NA,7,NA,2883.20598615,2883.20598615,NA,NA,4,NA,NA,0.00000000,NA,vegetative,2.80311693,NA,NA,20182.44190308,NA,-0.11900251
6,1,MS,0.00415559,False,0.00019795,0.00000000,0,10.00000000,0.00026376,0.01706478,NA,1,0.00019754,2883.20598615,2883.20598615,0.00117318,0.05576744,10,90.16305292,0.50119617,0.00000000,0.00000000,vegetative,2.80311693,0.28597638,0.71278823,20182.44190308,0.01706438,-0.03475605
7,1,b'T1',NA,False,NA,NA,0,10.00000000,NA,NA,NA,4,NA,2883.20598615,2883.20598615,NA,NA,7,NA,NA,0.00000000,NA,vegetative,3.20356221,NA,NA,23065.64788924,NA,-0.11900251
7,1,b'T2',NA,False,NA,NA,0,10.00000000,NA,NA,NA,5,NA,2883.20598615,2883.20598615,NA,NA,6,NA,NA,0.00000000,NA,vegetative,3.20356221,NA,NA,23065.64788924,NA,-0.11900251
7,1,b'T3',NA,False,NA,NA,0,10.00000000,NA,NA,NA,6,NA,2883.20598615,2883.20598615,NA,NA,5,NA,NA,0.00000000,NA,vegetative,3.20356221,NA,NA,23065.64788924,NA,-0.11900251
7,1,b'T4',NA,False,NA,NA,0,10.00000000,NA,NA,NA,7,NA,2883.20598615,2883.20598615,NA,NA,4,NA,NA,0.00000000,NA,vegetative,3.20356221,NA,NA,23065.64788924,NA,-0.11900251
7,1,MS,0.12383073,False,0.00019950,0.00000000,0,10.00000000,0.00014956,0.00968051,NA,1,0.00019889,2883.20598615,2883.20598615,0.00117450,0.05588326,10,90.16318953,0.50120389,0.00000000,0.00000000,vegetative,3.20356221,0.28175191,0.59706075,23065.64788924,0.00967990,-0.03430121
8,1,b'T1',NA,False,NA,NA,0,10.00000000,NA,NA,NA,4,NA,2883.20598615,2883.20598615,NA,NA,7,NA,NA,0.00000000,NA,vegetative,3.60400748,NA,NA,25948.85387539,NA,-0.11900251
8,1,b'T2',NA,False,NA,NA,0,10.00000000,NA,NA,NA,5,NA,2883.20598615,2883.20598615,NA,NA,6,NA,NA,0.00000000,NA,vegetative,3.60400748,NA,NA,25948.85387539,NA,-0.11900251
8,1,b'T3',NA,False,NA,NA,0,10.00000000,NA,NA,NA,6,NA,2883.20598615,2883.20598615,NA,NA,5,NA,NA,0.00000000,NA,vegetative,3.60400748,NA,NA,25948.85387539,NA,-0.11900251
8,1,b'T4',NA,False,NA,NA,0,10.00000000,NA,NA,NA,7,NA,2883.20598615,2883.20598615,NA,NA,4,NA,NA,0.00000000,NA,vegetative,3.60400748,NA,NA,25948.85387539,NA,-0.11900251
8,1,MS,0.18121120,False,0.00020018,0.00000000,0,10.00000000,0.00010228,0.00662057,NA,1,0.00019979,2883.20598615,2883.20598615,0.00117554,0.05599802,10,90.16257244,0.50116902,0.00000000,0.00000000,vegetative,3.60400748,0.27789105,0.40146701,25948.85387539,0.00662018,-0.03403542
9,1,b'T1',NA,False,NA,NA,0,10.00000000,NA,NA,NA,4,NA,2883.20598615,2883.20598615,NA,NA,7,NA,NA,0.00000000,NA,vegetative,4.00445276,NA,NA,28832.05986155,NA,-0.11900251
9,1,b'T2',NA,False,NA,NA,0,10.00000000,NA,NA,NA,5,NA,2883.20598615,2883.20598615,NA,NA,6,NA,NA,0.00000000,NA,vegetative,4.00445276,NA,NA,28832.05986155,NA,-0.11900251
9,1,b'T3',NA,False,NA,NA,0,10.00000000,NA,NA,NA,6,NA,2883.20598615,2883.20598615,NA,NA,5,NA,NA,0.00000000,NA,vegetative,4.00445276,NA,NA,28832.05986155,NA,-0.11900251
9,1,b'T4',NA,False,NA,NA,0,10.00000000,NA,NA,NA,7,NA,2883.20598615,2883.20598615,NA,NA,4,NA,NA,0.00000000,NA,vegetative,4.00445276,NA,NA,28832.05986155,NA,-0.11900251
