t,plant,axis,organ,AA_consumption_mstruct,C_exudation,Export_Amino_Acids,Export_Nitrates,Export_cytokinins,HATS_LATS,Ksoil,N_exudation,Nstruct,RGR_Structure,R_Nnit_red,R_Nnit_upt,R_grain_growth_starch,R_grain_growth_struct,R_min_upt,R_residual,Respi_growth,SRWC,S_Amino_Acids,S_Proteins,S_cytokinins,S_grain_starch,S_grain_structure,Total_Organic_Nitrogen,Tr,Tsoil,Unloading_Amino_Acids,Unloading_Sucrose,Uptake_Nitrates,age,age_from_flowering,amino_acids,cytokinins,delta_mstruct_growth,green_area,mstruct,nitrates,proteins,rate_mstruct_death,regul_transpiration,senesced_mstruct,soil_water_potential,starch,structure,sucrose,sucrose_consumption_mstruct,sum_respi,total_water_potential,xylem_water_potential
0,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00000000,NA,NA,NA,NA
0,1,MS,roots,0.03454722,NA,NA,NA,NA,NA,NA,NA,0.00017268,NA,NA,NA,NA,NA,NA,NA,1.19303084,NA,NA,NA,NA,NA,NA,14.49031944,NA,NA,NA,NA,NA,NA,NA,2.15598651,8.60000000,0.00009673,NA,0.03449673,21.90533730,NA,0.00000000,NA,0.00000000,NA,NA,NA,197.92736394,3.46439572,NA,NA,NA
0,1,MS,xylem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.11900251,NA,NA,NA,NA,NA,-0.03367976,NA
1,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.23677762,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84.72242089,NA,NA,NA,NA
1,1,MS,roots,0.03453681,0.00000000,0.46786340,0.68214749,0.09053377,1.44313738,NA,0.00000000,0.00017316,NA,0.10358472,0.14106929,NA,NA,NA,0.07963994,1.19267117,NA,1.51229601,NA,1.33689668,NA,NA,14.00970162,NA,NA,0.00000000,-516.88607460,0.35533826,NA,NA,1.64083187,8.55562343,0.00009670,NA,0.03459344,21.53107944,NA,0.00000000,0.00176011,0.00000000,NA,NA,NA,168.53899027,3.46335130,0.32429395,NA,NA
1,1,MS,xylem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.11900251,NA,NA,NA,NA,NA,-0.03706220,NA
2,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.19252994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,124.68030966,NA,NA,NA,NA
2,1,MS,roots,0.03383908,0.00000000,0.30653644,0.54814291,0.07340662,1.46221833,NA,0.00000000,0.00017364,NA,0.10301196,0.13327200,NA,NA,NA,0.07465505,1.16857627,NA,1.49982598,NA,1.32727102,NA,NA,13.72434416,NA,NA,0.00000000,-287.78666113,0.33569773,NA,NA,1.32163532,8.52826718,0.00009475,NA,0.03468818,21.26991881,NA,0.00000000,0.00143171,0.00000000,NA,NA,NA,150.49521435,3.39338307,0.31093901,NA,NA
2,1,MS,xylem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.11900251,NA,NA,NA,NA,NA,-0.03778996,NA
3,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.77988045,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,153.27981110,NA,NA,NA,NA
